Dist,crimes_total,lat,lng
C6,23460,42.21212258445543,-70.85561011772238
"",1765,25.239505193693454,-43.448774387042526
B2,49945,42.316003677327735,-71.07569930654353
C11,42530,42.29263740900062,-71.05125995734369
E13,17536,42.309803655710134,-71.09800478878383
B3,35442,42.28305944520094,-71.07894914185495
E5,13239,42.19796999447011,-71.00440862434758
A15,6505,42.17915525091079,-70.74472508958506
A7,13544,42.36070260499384,-71.00394833039846
D14,20127,42.34350724510934,-71.13125461726501
D4,41915,42.34124251790878,-71.07725024946956
E18,17348,42.262680611226024,-71.11891998757694
A1,35717,42.33123077259832,-71.01991881362024
